feature,importance_mean,importance_std
fiftytwoweeklowchange,0.012526908849596497,0.006400717434322995
enterprisetoebitda,0.005297347845581763,0.004788078365401619
bidsize,0.004890536782380351,0.00604113130126315
auditrisk,0.0033840881413779444,0.009534210562319496
operatingmargins,0.001986567150919866,0.008222758098259349
shortpercentoffloat,0.0017463292269335406,0.0034926584538670807
sharespercentsharesout,0.0017463292269335406,0.0034926584538670807
fiftydayaveragechange,0.0012915713792618854,0.005205614260505162
returnonassets,0.0007330693046800951,0.007485887924796551
targetmedianprice,0.000621364357482812,0.0027084644413856596
regularmarketdayrange_max,0.000621364357482812,0.0027084644413856596
bid,0.000621364357482812,0.0027084644413856596
regularmarketdayrange_min,0.000621364357482812,0.0027084644413856596
heldpercentinsiders,0.0005176541619987873,0.0022564021798559463
grossmargins,0.00044248976416000894,0.004108371718440351
profitmargins,0.0001498325401022349,0.0004494976203067047
fulltimeemployees,0.0,0.0
sharesoutstanding,0.0,0.0
floatshares,0.0,0.0
trailingeps,0.0,0.0
pricetobook,0.0,0.0
debttoequity,0.0,0.0
totaldebt,0.0,0.0
averagedailyvolume10day,0.0,0.0
payoutratio,0.0,0.0
twohundreddayaverage,0.0,0.0
fiftytwoweekhigh,0.0,0.0
fiftytwoweeklow,0.0,0.0
enterprisevalue,0.0,0.0
marketcap,0.0,0.0
averagevolume,0.0,0.0
trailingpe,0.0,0.0
averagevolume10days,0.0,0.0
returnonequity,0.0,0.0
averagedailyvolume3month,0.0,0.0
revenuepershare,0.0,0.0
totalrevenue,0.0,0.0
totalcashpershare,0.0,0.0
fiftytwoweekrange_min,0.0,0.0
epstrailingtwelvemonths,0.0,0.0
fiftytwoweekrange_max,0.0,0.0
ebitdamargins,0.0,0.0
ebitda,0.0,0.0
totalcash,0.0,0.0
grossprofits,0.0,0.0
bookvalue,0.0,0.0
impliedsharesoutstanding,0.0,0.0
revenuegrowth,-0.00031654727803711593,0.006883439481392957
earningsgrowth,-0.0006049923123134793,0.0047083150226335906
fiftytwoweekhighchange,-0.0006280935313193403,0.0027377962301126037
earningsquarterlygrowth,-0.0007385329006398933,0.004538055216364575
regularmarketvolume,-0.0012561870626386807,0.0037685611879160414
volume,-0.0012561870626386807,0.0037685611879160414
fiftytwoweekchangepercent,-0.001344323850934126,0.004519663880830289
52weekchange,-0.001344323850934126,0.004519663880830289
beta,-0.0018229890449675047,0.010917904132811901
regularmarketchangepercent,-0.0019434094261704781,0.004565182075306299
fiftytwoweeklowchangepercent,-0.0022127090450728914,0.0052070176886715395
regularmarketchange,-0.0023625415851751264,0.0051188879540256605
postmarketchange,-0.0023625415851751264,0.0051188879540256605
asksize,-0.0026279272832713642,0.009636429841124408
pricetosalestrailing12months,-0.0032823815043599323,0.004674952531577092
overallrisk,-0.0034615465367321186,0.008266938429602508
trailingpegratio,-0.003603185795147734,0.0056886259000564115
twohundreddayaveragechange,-0.0037752903617525703,0.006978485777830788
epscurrentyear,-0.004396654719235382,0.005991630416819209
forwardeps,-0.0056528417818740625,0.006249451729906769
epsforward,-0.0056528417818740625,0.006249451729906769
dividendyield,-0.006238423796610904,0.005093651700310967
compensationrisk,-0.006303933493347624,0.013468626014795211
boardrisk,-0.006835559185040396,0.01213064680944707
fiftydayaveragechangepercent,-0.007458152307626098,0.008321434403697767
lastdividendvalue,-0.007642207504396215,0.00803793245688886
dividendrate,-0.007642207504396215,0.00803793245688886
quickratio,-0.008321091111507445,0.006381726060085666
sharesshortpriormonth,-0.008469670160156095,0.004234835080078048
recommendationmean,-0.008710702351729415,0.011356629843222095
freecashflow,-0.009421402969790105,0.005439449540752256
trailingannualdividendrate,-0.009478698373145151,0.009596751942409717
postmarketchangepercent,-0.009806875180778713,0.008975687531934345
trailingannualdividendyield,-0.0100395733631155,0.010366044689159257
priceepscurrentyear,-0.010049496501109445,0.005024748250554722
netincometocommon,-0.010049496501109445,0.005024748250554722
forwardpe,-0.010049496501109445,0.005024748250554722
sharesshort,-0.010057733315185363,0.002307402269577648
nextfiscalyearend,-0.010240837271508907,0.004575144519688085
lastfiscalyearend,-0.010240837271508907,0.004575144519688085
numberofanalystopinions,-0.010420922710914443,0.006864634342068727
operatingcashflow,-0.010677590032428786,0.004485485000347805
shortratio,-0.010885032450050769,0.01244245856136267
shareholderrightsrisk,-0.01090200005629961,0.011321732989983445
currentratio,-0.01331868584470861,0.010480905617739296
fiftytwoweekhighchangepercent,-0.014317281863256532,0.012013516128817023
heldpercentinstitutions,-0.014327374497364116,0.011070925958980855
enterprisetorevenue,-0.014935806031151206,0.0057655219357048565
twohundreddayaveragechangepercent,-0.020828312223103062,0.010633378899862458
fiveyearavgdividendyield,-0.029641701745445774,0.01310802342210315
