,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
financial-services,63000,0.5860952380952381,0.41111044597052215,0.3848144444444444,0.3925115682052944,0.6026382446799451,0.5860952380952381,0.5874508942514945
technology,63000,0.7371269841269841,0.37551358228458215,0.37923899371069186,0.376682880333388,0.7596503804232352,0.7371269841269841,0.7478875011709389
industrials,58000,0.42010344827586205,0.34113337203548005,0.37469700854700855,0.32616956582694,0.39039663995863866,0.42010344827586205,0.3744958655009892
healthcare,53000,0.6293584905660378,0.45136479862523116,0.44139285714285714,0.44286028336249755,0.6613241658642691,0.6293584905660378,0.6435333305699146
consumer-cyclical,51000,0.5742745098039216,0.40818049593804445,0.3847348484848485,0.3956992324667981,0.6046432250777147,0.5742745098039216,0.5884773547460708
consumer-defensive,33000,0.5946666666666667,0.48318203874625865,0.4657943722943723,0.46935345960033104,0.6176305045582958,0.5946666666666667,0.603561761961161
real-estate,28000,0.9068214285714286,0.32070276483144505,0.3134691358024691,0.3170446954230738,0.9277472839766804,0.9068214285714286,0.9171650117596063
utilities,28000,0.6923214285714285,0.32453072043529446,0.3248015873015873,0.3141347255317108,0.6274837752752945,0.6923214285714285,0.6508155337211171
basic-materials,19000,0.35136842105263155,0.3608992509957418,0.3892575757575758,0.31529537423388576,0.4687095200892665,0.35136842105263155,0.3769844916980737
energy,19000,0.47368421052631576,0.35254062803250186,0.33553571428571427,0.3120454852015182,0.6598723237138552,0.47368421052631576,0.5245531526681791
communication-services,14000,0.4735714285714286,0.3706652412329383,0.365575,0.35464852560842575,0.5254357734042687,0.4735714285714286,0.4799456827263435
